tweets,clean_tweets,sentiment
https://t.co/Sapqt3YTdA,,positive
"@marialvl @Jaumgaba Espera alguma coisa tipo Black Friday q compensa dms, na semana do consumir da Amazon tinha cadeira gamer de 700 conto",espera alguma coisa tipo black friday q compensa dms semana consumir amazon cadeira gamer 700 conto,negative
"The excellent MacBook Air M1 is now as cheap as it was on Black Friday 

https://t.co/9tpsxM5X7s",excellent macbook air m1 cheap black friday,positive
Retweet selected by the https://t.co/11ojAZA3Wf team |  Thanksgiving's 10 Best early Black Friday deals from Amazon… https://t.co/LG79tKlhGq,retweet selected team thanksgivings 10 best early black friday deals amazon,positive
"@amariegonzalez_ Ohhh, you feisty this Friday morning 🤣 
Here you go! 😉 
Oster 2-Slice Toaster, Black (006332-000-0… https://t.co/BDd91uS1CT",ohhh feisty friday morning go oster 2slice toaster black 0063320000,negative
"#Amazon - Ist nächsten Donnerstag schon ""Black Friday""? #börse #aktien $AMZ https://t.co/bQs16zr1dE https://t.co/wXQDxBmPbA",amazon nächsten donnerstag schon black friday börse aktien amz,negative
"Wäre Black Friday 2021 gekommen, hätte Bushido ""Aber all eure Filme sind umsonst, wie auf Amazon Prime"" statt ""wie… https://t.co/PCi8kb4fK7",wäre black friday 2021 gekommen hätte bushido filme umsonst amazon prime statt,negative
Today is the Earth Day equivalent of Black Friday. A day where people contradict the spirit of all of yesterday's p… https://t.co/nHzVyqqcpS,today earth day equivalent black friday day people contradict spirit yesterdays p,negative
"Good Mourning / Black Friday (Remastered) [Explicit] de Megadeth en Amazon Music
https://t.co/59l4x5bHVV",good mourning black friday remastered explicit megadeth amazon music,positive
"♨️♨️ [Price Drop] #OnePlus Power Bank 10000mAh Black @ 888 only

https://t.co/gLbNswTkRp

Amazon price: 1099",price drop oneplus power bank 10000mah black 888 amazon price 1099,negative
"[Price Drop] #OnePlus Power Bank 10000mAh Black @ Rs.888 only

Link : https://t.co/4ycj51GbeX

Amazon price: 1099 https://t.co/4wZNz3F1FR",price drop oneplus power bank 10000mah black rs888 link amazon price 1099,negative
"OnePlus Power Bank 10000mAh Black @ 888 

https://t.co/nm6g2BnJwo

Amazon price: 1099 https://t.co/WnU1ywJSTn",oneplus power bank 10000mah black 888 amazon price 1099,negative
"@priizysaywhat It is have some waves. More than speed, it’s often persistence (and luck) that secures a PS5 / Xbox… https://t.co/VZB1YQ4eQZ",waves speed often persistence luck secures ps5 xbox,positive
"@tytamonteiroo @caruliniac Se não me engano, a Prime Day é em setembro, ou  outubro, é antes da Black Friday. Então… https://t.co/j15sdj4uOA",engano prime day setembro outubro black friday então,negative
"Lrt

For reference, I'm using the XP Pen Artist 24 Pro. https://t.co/HmgwlEO0gz

Ignore the $180 off, that's always… https://t.co/9rcB27oGGY",lrt reference using xp pen artist 24 pro ignore 180 thats always,positive
@lineecarlin nossa durante a black friday eu comprei tanto livro na amazon que o moço chegou a falar “deveriam pens… https://t.co/p6FXZdj50W,black friday comprei livro amazon moço chegou falar deveriam pens,negative
"Although Prime Day, Black Friday, and Cyber Monday feature the deepest discounts, there are still great deals to be… https://t.co/XItyf7XKCN",although prime day black friday cyber monday feature deepest discounts still great deals,positive
"@vuIcansalute ami a amazon é bem rapida qnd quer, eu comprei na semana da black friday e chegou no dia seguinte da compra fiquei 👀",amazon bem rapida qnd quer comprei semana black friday chegou seguinte compra fiquei,negative
"Amazon Alexa Products on Amazon Prime Day 

Amazon Prime Day is like Black Friday for Amazon Prime https://t.co/kDqevONl8T #echodot",amazon alexa products amazon prime day amazon prime day like black friday amazon prime echodot,negative
Check out boAt Bassheads 102 in Ear Wired Earphones with Mic(Charcoal Black) by Boat https://t.co/sZF1Y13LYH via… https://t.co/t4QVudTfHv,check boat bassheads 102 ear wired earphones miccharcoal black boat via,negative
"From $MGM Investor Day - ""In the U.K., every Saturday, our platform handles 7x more interactions than Amazon on a Black Friday.""",mgm investor day uk every saturday platform handles 7x interactions amazon black friday,negative
