tweets,clean_tweets,sentiment
"Folks I’m at the Walmart bathroom and a woman just came in, turned to the janitor cleaning the toilets, and said, “… https://t.co/A12wKKtNui",folks walmart bathroom woman came turned janitor cleaning toilets said,positive
"4/ Strategic acquirers up the wazoo. Every single on-demand food player will try to acquire Shef. DoorDash, UberEat… https://t.co/pktqw1ZEXw",4 strategic acquirers wazoo every single ondemand food player try acquire shef doordash ubereat,positive
@haddiebird Worse.  Walmart. So ashamed.,worse walmart ashamed,positive
"@OfBrieMode Nothing wrong with Walmart, I blame her entirely. She’s a whole dummy.",nothing wrong walmart blame entirely shes whole dummy,negative
@JohnFusco12  Look what I found at Walmart! The checkout lady had high praise as well! Her and her granddaughter ha… https://t.co/MgX9nquAjf,look found walmart checkout lady high praise well granddaughter,positive
Walmart selling weave now 😭😭 just got a kinky ponytail 😭,walmart selling weave got kinky ponytail,positive
should i write my two weeks on my break and give it to them today at walmart,write two weeks break give today walmart,positive
"Alguien ha comprado 1000 millones de $ en BTC. Y el rumor es que es Walmart. Si se confirma, nos vamos a los 100k.",alguien comprado 1000 millones btc rumor walmart confirma vamos 100k,positive
Y'all are usually great with the pickup @Walmart but not today it's pretty bad I've had to wait an 45 mins just to… https://t.co/0qAbGKUXyG,yall usually great pickup today pretty bad ive wait 45 mins,negative
I hope #BritishColumbia  hurry’s up and allows #Costco and #Walmart to open up some campsites so i can line up to c… https://t.co/zgIh4TgX2w,hope britishcolumbia hurrys allows costco walmart open campsites line,positive
LMAO ayo the walmart app updated and shi look cool🌚,lmao ayo walmart app updated shi look cool,positive
I should’ve gotten up and went to walmart,shouldve gotten went walmart,positive
@NotJustAnyBoy best bang for your buck https://t.co/zO7QGo1a9r,best bang buck,positive
Take a look at what I found at https://t.co/ne9UKD8Tsi. What do you think? https://t.co/Ksm0JqdXQu,look found think,positive
"New availability: Walmart
West Branch Supercenter 2750 Cook Rd, West Branch, MI 48661
Access here: https://t.co/4PFgik4AJt
Apr 23, 01:57 PM",new availability walmart west branch supercenter 2750 cook rd west branch 48661 access apr 23 0157 pm,positive
I go to walmart 3-4 times a week it’s ridiculous atp☹️ https://t.co/1DLTEI4nBA,go walmart 34 times week ridiculous atp,positive
@Bitboy_Crypto Walmart?,walmart,positive
"Did I got to Walmart and get my niece one last birthday present before tomorrow?? Yes, I did.",got walmart get niece last birthday present tomorrow yes,positive
@SaffronOlive Too Bad the Walmart over here doesn't sell any tcg merch,bad walmart doesnt sell tcg merch,negative
"@DATBOIVIC Idk what's it like for you BUT here like where I stayed on the East, the nearest organic food store was… https://t.co/WMSFZiAIXU",idk whats like like stayed east nearest organic food store,positive
"so can someone explain to me how it’s perfectly okay for 50+ people to wait in line at Costco or Walmart, but I’m n… https://t.co/orT0m4cxXD",someone explain perfectly okay 50 people wait line costco walmart,positive
"@DJMggot1 Square and small rectangular are super cheap at Walmart, but I’ve found that if I’m shipping outside of C… https://t.co/kxv9HjmWZd",square small rectangular super cheap walmart ive found shipping outside,positive
"Cops Assault Elderly Woman With Dementia https://t.co/3XOvMvPlqZ via @YouTube
Definitely Police need serious retrai… https://t.co/lm39byFsyL",cops assault elderly woman dementia via definitely police need serious retrai,positive
"Open SmartNews and read ""Alabama police dog bites man accused of shoplifting at Walmart. Doctors perform 5 surgerie… https://t.co/lOjWg0DFwa",open smartnews read alabama police bites accused shoplifting walmart doctors perform 5 surgerie,positive
"I'm at @Walmart Supercenter in California, MD https://t.co/i9tAzNTkVK",supercenter california md,positive
@Backstabbed14 I thought it was a pharmaceutical company with patents?  And potential distribution to Walmart and Publix or something,thought pharmaceutical company patents potential distribution walmart publix something,positive
@daninflorida77 I heard WalMart Auto Service does a good job at removing nails 🤣🤣🤣🤣,heard walmart auto service good job removing nails,positive
"I really need to go find Jean shorts &amp; idk where to go... Been to target, Walmart, Ross y nada",really need go find jean shorts amp idk go target walmart ross,positive
"@lordbanqfortune Ross, walmart, target my go to and i got some heat",ross walmart target go got heat,positive
I went to Walmart w/my momma &amp; sister. I told my sister she could get whatever she want. She got a bunch of clothes… https://t.co/ulR4n86tUO,went walmart wmy momma amp sister told sister could get whatever got bunch clothes,positive
I just saw a Walmart ad with Johnny  pins 😂,saw walmart johnny pins,positive
@mehgcap I guess? It just seems like you could get it at Walmart for 4/$2 or something.,guess seems like could get walmart 42 something,positive
Stan mate mind sacking arteta ? Might be able to get him a job stacking shelves in Walmart if you like him that much,stan mate mind sacking arteta might able get job stacking shelves walmart like much,positive
Pre-Order: McFarlane Toys Mortal Kombat Sub-Zero vs. Shao Khan 2 Pack - Walmart Exclusive 7 inch Action Figures $39… https://t.co/GDY9ijyLv3,preorder mcfarlane toys mortal kombat subzero vs shao khan 2 pack walmart exclusive 7 inch action figures 39,positive
"@Walmart_DPS That's when I start going, ""Ok Basic E-girl AuRa 25, please heal me.""

Or, ""Ok Twink Catboy 5987 maybe DPS a little harder.""",thats start going ok basic egirl 25 please heal ok twink catboy 5987 maybe dps little harder,positive
@William80404552 @EthanVanSciver My set came wrapped up with a Walmart pie label.,set came wrapped walmart pie label,positive
"Just spent frustrating time on ""help"" for @Walmart @WalmartInc @walmarthelp only to learn that they would rather lo… https://t.co/QGnebrabAC",spent frustrating time help learn would rather,negative
