tweets,clean_tweets,sentiment
"At the University Walmart in 2016, I witnessed two baby frat bros trying to figure out how to grocery shop, and one… https://t.co/h8a8HT43Rv",university walmart 2016 witnessed two baby frat bros trying figure grocery shop,positive
I am not impressed with @Walmart grocery pickup. Why is there never times available at the 2 stores near me? Why is… https://t.co/jWkxSQBhDW,impressed grocery pickup never times available 2 stores near,positive
I have my babies and it made picking up grocery’s and necessities from Walmart and Target,babies made picking grocerys necessities walmart target,positive
@outdoortype @samerfarha I would expect it at a Walmart or Target grocery but at CVS it stood out. Kinda like when… https://t.co/cDevrON1M4,would expect walmart target grocery cvs stood kinda like,positive
"Walmart should look at Xperi.

Walmart launched Walmart+ in September, and has since expanded the program.
https://t.co/PxzNKuRnqh",walmart look xperi walmart launched walmart september since expanded program,positive
"5. The Future Of Shopping For Groceries
https://t.co/cxFQ5lwoHu 
@Walmart @kroger @Albertsons #grocery #groceries… https://t.co/tNzoElMOQ0",5 future shopping groceries grocery groceries,positive
Grocery Store/Walmart music is so weird. Like here’s yesterday’s top depressive hits on a Monday afternoon while yo… https://t.co/5hUF98ikVM,grocery storewalmart music weird like heres yesterdays top depressive hits monday afternoon,negative
@Miss_Elles A loblaws grocery store - I’ve seen it at SDM and Walmart as well though!,loblaws grocery store ive seen sdm walmart well though,positive
"DO you know the reason why the government created Shopping basket corrals to return Shopping 🛒 at stores?

It's a g… https://t.co/HhErYAieL4",know reason government created shopping basket corrals return shopping stores g,positive
ugh i wish there was a grocery store closer to me bc walmart hires sexual predators 🙄🙄,ugh wish grocery store closer bc walmart hires sexual predators,positive
"@C4C2021 For instance, if zoning only allows a massive Publix or Walmart to be built, then it won't be built in low… https://t.co/sVAKc4mLjB",instance zoning allows massive publix walmart built wont built low,positive
@ACredit59 @dionysus9090 He reopened bc small bus were closed during christmas.. where they might have barely survi… https://t.co/uKD6vRWH0y,reopened bc small bus closed christmas might barely survi,negative
@_KDenisee_ Girl walmart grocery delivery has become my whole life,girl walmart grocery delivery become whole life,positive
a lot of men have very low self-esteem which is why they will fuck 3 women &amp; 4 niggas behind a Walmart &amp; 7/11 &amp; the… https://t.co/kehdLj0Vr3,lot low selfesteem fuck 3 women amp 4 niggas behind walmart amp 711 amp,negative
@zerohedge I haven’t been in a grocery store in over a year. Walmart+ and Amazon prime delivers to my door. I’ll ne… https://t.co/XlWtKLz3Xz,havent grocery store year walmart amazon prime delivers,positive
"I'm at Walmart Grocery Pickup in Ellsworth, ME https://t.co/IMZT7VBzVM",walmart grocery pickup ellsworth,positive
"Lord, hold the rain until after I get my Walmart grocery pick up! 🥴",lord hold rain get walmart grocery pick,positive
Great news @Walmart just delivered my missing grocery items.... They are only 17 hours late.,great news delivered missing grocery items 17 hours late,positive
@ThatDudesMother @MargaretChown @StephenPunwasi @long_daze The old RBC Visa card wasn't accepted at Walmart a while… https://t.co/s79pPhuoq9,old rbc visa card wasnt accepted walmart,positive
"Family #1:
Needs clothing (new or gently used)
Female children sizes: 10, 12, and 4T 
Male Sizes: 32 waist and medi… https://t.co/JYzkb6PpRv",family 1 needs clothing new gently used female children sizes 10 12 4t male sizes 32 waist medi,positive
he will also tell you no one else will be able to help but hey that's how they do business hope you didn't want to… https://t.co/JrZcf1xfZB,tell else able help hey thats business hope didnt,positive
